ccn,location,latitude,longitude,block,offensekey,offensegroup,method,offense,sector,start_date,end_date,shift,year,neighborhood_cluster,psa,census_tract,ward,bid,district,ucr-rank,voting_precinct
25010131,"38.950599532,-77.0158100265",38.95059953,-77.01581003,4900 - 4999 block of 3rd street nw,property|theft f/auto,property,others,theft f/auto,4D2,21-01-2025,22-01-2025,day,2025,cluster 18,407,2202,4,Unknown,4,7,precinct 55
25011048,"38.9747138874,-77.026775527",38.97471389,-77.02677553,6900 - 7099 block of georgia avenue nw,property|motor vehicle theft,property,others,motor vehicle theft,4D1,24-01-2025,24-01-2025,day,2025,cluster 17,401,10300,4,Unknown,4,8,precinct 63
25017851,"38.8884107641,-76.9902397425",38.88841076,-76.99023974,100 - 199 block of 12th street se,property|theft/other,property,others,theft/other,1D2,06-02-2025,02-03-2025,day,2025,cluster 26,107,6700,6,Unknown,1,6,precinct 88
25008682,"38.9008701974,-76.9459178177",38.9008702,-76.94591782,740 - 899 block of kenilworth avenue ne,violent|assault w/dangerous weapon,violent,knife,assault w/dangerous weapon,6D1,19-01-2025,19-01-2025,midnight,2025,cluster 30,601,9602,7,Unknown,6,3,precinct 100
25023842,"38.9040867267,-76.9736875824",38.90408673,-76.97368758,2100 - 2111 block of maryland avenue ne,property|motor vehicle theft,property,others,motor vehicle theft,5D3,17-02-2025,18-02-2025,day,2025,cluster 23,507,8904,5,Unknown,5,8,precinct 79
25012804,"38.8713891837,-77.0121734039",38.87138918,-77.0121734,1500 - 1599 block of 1st street sw,property|theft/other,property,others,theft/other,1D3,18-01-2025,20-01-2025,evening,2025,cluster 9,105,6400,6,Unknown,1,6,precinct 127
25007941,"38.937779168,-76.9904250303",38.93777917,-76.99042503,3900 - 3999 block of 12th street ne,property|theft/other,property,others,theft/other,5D2,17-01-2025,17-01-2025,evening,2025,cluster 20,504,9504,5,Unknown,5,6,precinct 68
25024727,"38.9264267856,-76.9565547802",38.92642679,-76.95655478,3400 - 3599 block of commodore joshua barney drive ne,property|motor vehicle theft,property,others,motor vehicle theft,5D2,19-02-2025,20-02-2025,midnight,2025,cluster 24,503,9000,5,Unknown,5,8,precinct 139
25019079,"38.9054380874,-77.0323418139",38.90543809,-77.03234181,1 - 1 block of thomas circle nw,property|theft/other,property,others,theft/other,2D3,08-02-2025,08-02-2025,evening,2025,cluster 8,207,10100,2,downtown,2,6,precinct 17
25021673,"38.9620594775,-77.0562021493",38.96205948,-77.05620215,5400 - 5499 block of 27th street nw,property|theft f/auto,property,others,theft f/auto,2D1,13-02-2025,13-02-2025,midnight,2025,cluster 10,201,1402,4,Unknown,2,7,precinct 52
25021813,"38.9209329952,-76.9971570051",38.920933,-76.99715701,500 - 799 block of rhode island avenue ne,property|theft f/auto,property,others,theft f/auto,5D1,13-02-2025,13-02-2025,day,2025,cluster 21,502,9204,5,Unknown,5,7,precinct 74
25016130,"38.9151443891,-76.9849474402",38.91514439,-76.98494744,2000 - 2099 block of fenwick street ne,property|theft f/auto,property,others,theft f/auto,5D3,02-02-2025,02-02-2025,midnight,2025,cluster 23,506,8803,5,Unknown,5,7,precinct 76
25016421,"38.9196529458,-76.9995196031",38.91965295,-76.9995196,2200 - 2299 block of 5th street ne,property|motor vehicle theft,property,others,motor vehicle theft,5D1,03-02-2025,02-03-2025,day,2025,cluster 21,502,8702,5,Unknown,5,8,precinct 75
25024050,"38.9342700259,-77.0343103214",38.93427003,-77.03431032,1401 - 1499 block of oak street nw,violent|assault w/dangerous weapon,violent,gun,assault w/dangerous weapon,4D3,18-02-2025,02-03-2025,evening,2025,cluster 2,408,2801,1,Unknown,4,3,precinct 41
25020539,"38.9241160894,-77.0353474758",38.92411609,-77.03534748,2600 - 2798 block of 15th street nw,property|theft f/auto,property,others,theft f/auto,3D1,11-02-2025,11-02-2025,evening,2025,cluster 2,304,3702,1,Unknown,3,7,precinct 36
25023343,"38.9578159492,-77.0334251885",38.95781595,-77.03342519,5600 - 5699 block of 14th street nw,property|motor vehicle theft,property,others,motor vehicle theft,4D1,16-02-2025,17-02-2025,day,2025,cluster 18,403,2001,4,Unknown,4,8,precinct 53
25016488,"38.9096429011,-77.0375066283",38.9096429,-77.03750663,1600 - 1699 block of p street nw,property|theft/other,property,others,theft/other,2D3,03-02-2025,03-02-2025,evening,2025,cluster 6,208,5303,2,Unknown,2,6,precinct 15
25020983,"38.8983125792,-77.0249480334",38.89831258,-77.02494803,900 - 999 block of g street nw,violent|sex abuse,violent,others,sex abuse,2D3,12-02-2025,12-02-2025,evening,2025,cluster 8,209,5802,2,downtown,2,2,precinct 129
25420542,"38.9056459446,-77.0025500075",38.90564594,-77.00255001,201 - 299 block of m street ne,property|theft/other,property,others,theft/other,5D1,01-02-2025,01-02-2025,evening,2025,cluster 25,501,10602,6,noma,5,6,precinct 144
25011354,"38.9521972994,-76.9949764879",38.9521973,-76.99497649,720 - 799 block of gallatin street ne,property|motor vehicle theft,property,others,motor vehicle theft,4D2,23-01-2025,24-01-2025,midnight,2025,cluster 20,405,9509,5,Unknown,4,8,precinct 66
25000655,"38.8637214143,-76.9503981978",38.86372141,-76.9503982,2004 - 2199 block of fort davis street se,property|motor vehicle theft,property,others,motor vehicle theft,6D2,02-01-2025,02-01-2025,day,2025,cluster 35,606,7603,7,Unknown,6,8,precinct 110
25012953,"38.9051510928,-77.0639958956",38.90515109,-77.0639959,3200 - 3275 block of m street nw,property|theft/other,property,others,theft/other,2D2,27-01-2025,27-01-2025,evening,2025,cluster 4,206,202,2,Unknown,2,6,precinct 6
25015762,"38.9291504511,-76.960096837",38.92915045,-76.96009684,2855 - 3200 block of bladensburg road ne,property|burglary,property,others,burglary,5D2,02-02-2025,02-03-2025,midnight,2025,cluster 24,503,11100,5,Unknown,5,5,precinct 71
25012558,"38.9174025405,-77.0416498795",38.91740254,-77.04164988,2000 - 2099 block of 18th street nw,property|burglary,property,others,burglary,3D3,27-01-2025,27-01-2025,day,2025,cluster 1,303,4002,1,adams morgan,3,5,precinct 25
25008081,"38.8978327077,-77.0319593304",38.89783271,-77.03195933,600 - 699 block of 14th street nw,property|theft/other,property,others,theft/other,2D3,17-01-2025,17-01-2025,midnight,2025,cluster 8,209,5802,2,downtown,2,6,precinct 129
25022711,"38.9118711005,-77.0355337295",38.9118711,-77.03553373,1500 - 1599 block of corcoran street nw,violent|robbery,violent,gun,robbery,3D3,16-02-2025,16-02-2025,midnight,2025,cluster 6,301,5202,2,Unknown,3,4,precinct 16
25000511,"38.91265961,-76.9937231684",38.91265961,-76.99372317,400 - 1229 block of new york avenue ne,property|theft/other,property,others,theft/other,5D1,01-01-2025,02-01-2025,midnight,2025,cluster 23,501,8803,5,Unknown,5,6,precinct 76
25003590,"38.9152318935,-77.0674946949",38.91523189,-77.06749469,1738 - 1898 block of wisconsin avenue nw,property|theft f/auto,property,others,theft f/auto,2D2,27-12-2024,27-12-2024,evening,2025,cluster 4,206,202,2,Unknown,2,7,precinct 6
25017418,"38.895463031,-77.0219168135",38.89546303,-77.02191681,400 - 499 block of 7th street nw,property|theft/other,property,others,theft/other,1D1,05-02-2025,05-02-2025,day,2025,cluster 8,102,5801,2,downtown,1,6,precinct 143
25019772,"38.8952349608,-77.0288635145",38.89523496,-77.02886351,1200 - 1299 block of pennsylvania avenue nw,property|theft/other,property,others,theft/other,2D3,10-02-2025,10-02-2025,day,2025,cluster 8,209,5802,2,downtown,2,6,precinct 129
