latitude,block,offensegroup,location,sector,method,ccn,end_date,longitude,neighborhood_cluster,shift,psa,census_tract,ward,bid,district,year,report_dat,ucr-rank,offensekey,start_date,voting_precinct,offense
38.920933,500 - 799 block of rhode island avenue ne,property,"38.9209329952,-76.9971570051",5D1,others,25001952,04-01-2025,-76.99715701,cluster 21,evening,502.0,9204.0,5.0,Unknown,5.0,2025,"1/4/2025, 5:36:36 PM",8,property|motor vehicle theft,04-01-2025,precinct 74,motor vehicle theft
38.95031019,4900 - 4999 block of 9th street nw,property,"38.9503101917,-77.0254732533",4D2,others,25002364,05-01-2025,-77.02547325,cluster 18,evening,407.0,2201.0,4.0,Unknown,4.0,2025,"1/5/2025, 3:29:42 PM",8,property|motor vehicle theft,05-01-2025,precinct 55,motor vehicle theft
38.86891865,3200 - 3299 block of pennsylvania avenue se,property,"38.8689186523,-76.9594761766",6D2,others,25003652,08-01-2025,-76.95947618,cluster 34,midnight,607.0,7604.0,7.0,Unknown,6.0,2025,"1/8/2025, 11:12:38 PM",8,property|motor vehicle theft,08-01-2025,precinct 109,motor vehicle theft
38.89601815,2100 - 2199 block of e street nw,property,"38.8960181546,-77.0473467599",2D3,others,25005366,12-01-2025,-77.04734676,cluster 5,evening,207.0,10800.0,2.0,Unknown,2.0,2025,"1/12/2025, 5:08:50 PM",6,property|theft/other,12-01-2025,precinct 2,theft/other
38.85244991,2705 - 2724 block of martin luther king jr avenue se,property,"38.8524499071,-76.995868859",7D1,others,25006789,15-01-2025,-76.99586886,cluster 43,day,703.0,10400.0,8.0,Unknown,7.0,2025,"1/15/2025, 10:43:27 AM",6,property|theft/other,14-01-2025,precinct 119,theft/other
38.89783287,600 - 699 block of 11th street nw,property,"38.8978328702,-77.0270341747",2D3,others,25010393,02-03-2025,-77.02703417,cluster 8,evening,209.0,5802.0,2.0,downtown,2.0,2025,"1/22/2025, 6:15:08 PM",6,property|theft/other,10-01-2025,precinct 129,theft/other
38.89677676,4200 - 4399 block of edson place ne,property,"38.8967767648,-76.9408976637",6D1,others,25010602,02-03-2025,-76.94089766,cluster 30,day,602.0,7803.0,7.0,Unknown,6.0,2025,"1/23/2025, 11:35:16 AM",6,property|theft/other,23-01-2025,precinct 99,theft/other
38.92558179,1511 - 1643 block of franklin street ne,property,"38.9255817913,-76.982346196",5D2,others,25011143,27-01-2025,-76.9823462,cluster 22,day,505.0,9102.0,5.0,Unknown,5.0,2025,"1/24/2025, 11:19:10 AM",8,property|motor vehicle theft,24-01-2025,precinct 72,motor vehicle theft
38.8819964,500 - 699 block of 9th street se,property,"38.8819964043,-76.9937613505",1D3,others,25011497,24-01-2025,-76.99376135,cluster 26,midnight,106.0,7000.0,6.0,Unknown,1.0,2025,"1/25/2025, 12:05:55 AM",8,property|motor vehicle theft,24-01-2025,precinct 90,motor vehicle theft
38.86353456,2300 - 2399 block of marion barry avenue se,property,"38.8635345572,-76.9739720394",6D2,others,25012235,26-01-2025,-76.97397204,cluster 34,evening,607.0,7605.0,8.0,Unknown,6.0,2025,"1/26/2025, 10:31:04 PM",8,property|motor vehicle theft,26-01-2025,precinct 112,motor vehicle theft
38.88484363,700 - 999 block of d street sw,violent,"38.8848436313,-77.0239414041",1D1,gun,25015593,01-02-2025,-77.0239414,cluster 9,evening,103.0,10202.0,6.0,southwest,1.0,2025,"2/1/2025, 8:04:38 PM",4,violent|robbery,01-02-2025,precinct 142,robbery
38.92879901,100 - 379 block of michigan avenue ne,property,"38.9287990063,-77.0044931979",4D2,others,25015223,01-02-2025,-77.0044932,cluster 21,midnight,405.0,2302.0,5.0,Unknown,4.0,2025,"2/1/2025, 1:46:41 AM",8,property|motor vehicle theft,01-02-2025,precinct 44,motor vehicle theft
38.91421378,1300 - 1399 block of okie street ne,property,"38.9142137824,-76.9860296578",5D3,others,25015640,01-02-2025,-76.98602966,cluster 23,evening,506.0,8803.0,5.0,Unknown,5.0,2025,"2/1/2025, 10:31:42 PM",7,property|theft f/auto,01-02-2025,precinct 76,theft f/auto
38.92664905,2800 - 2999 block of 26th street ne,property,"38.9266490483,-76.970143046",5D2,others,25018275,07-02-2025,-76.97014305,cluster 22,midnight,503.0,11100.0,5.0,Unknown,5.0,2025,"2/7/2025, 5:51:10 AM",8,property|motor vehicle theft,07-02-2025,precinct 71,motor vehicle theft
38.90312385,1000 - 1099 block of 1st street ne,property,"38.9031238461,-77.0058863225",5D1,others,25019746,10-02-2025,-77.00588632,cluster 25,midnight,501.0,10603.0,6.0,noma,5.0,2025,"2/10/2025, 5:26:48 AM",5,property|burglary,10-02-2025,precinct 144,burglary
38.93210899,1600 - 1699 block of park road nw,violent,"38.9321089892,-77.0376421992",3D1,gun,25023184,17-02-2025,-77.0376422,cluster 2,midnight,302.0,2703.0,1.0,Unknown,3.0,2025,"2/17/2025, 12:57:56 AM",4,violent|robbery,16-02-2025,precinct 40,robbery
38.91056243,2700 - 2799 block of q street nw,property,"38.9105624348,-77.0560516903",2D2,others,25023268,17-02-2025,-77.05605169,cluster 4,day,206.0,101.0,2.0,Unknown,2.0,2025,"2/17/2025, 7:47:25 AM",7,property|theft f/auto,16-02-2025,precinct 5,theft f/auto
38.90753988,300 - 385 block of florida avenue ne,property,"38.907539879,-77.001404167",5D1,others,25023581,17-02-2025,-77.00140417,cluster 23,evening,501.0,8803.0,5.0,Unknown,5.0,2025,"2/17/2025, 7:03:22 PM",6,property|theft/other,17-02-2025,precinct 76,theft/other
38.86614958,2000 - 2098 block of martin luther king jr avenue se,property,"38.8661495781,-76.9891930667",7D1,others,25026810,05-12-2024,-76.98919307,cluster 28,day,701.0,7503.0,8.0,anacostia,7.0,2025,"2/24/2025, 8:51:26 AM",7,property|theft f/auto,04-12-2024,precinct 114,theft f/auto
38.92583795,600 - 699 block of girard street nw,property,"38.925837945,-77.0221385755",3D2,others,25027146,24-02-2025,-77.02213858,cluster 3,evening,306.0,3400.0,1.0,Unknown,3.0,2025,"2/24/2025, 6:45:51 PM",7,property|theft f/auto,24-02-2025,precinct 37,theft f/auto
38.91723646,2000 - 2099 block of 8th street nw,property,"38.917236462,-77.0229457261",3D2,others,25027388,25-02-2025,-77.02294573,cluster 3,midnight,305.0,3500.0,1.0,Unknown,3.0,2025,"2/25/2025, 11:53:58 PM",6,property|theft/other,25-02-2025,precinct 37,theft/other
38.91723646,2000 - 2099 block of 8th street nw,property,"38.917236462,-77.0229457261",3D2,others,25027908,26-02-2025,-77.02294573,cluster 3,day,305.0,3500.0,1.0,Unknown,3.0,2025,"2/26/2025, 12:42:29 PM",6,property|theft/other,26-02-2025,precinct 37,theft/other
38.94788938,2860 - 2899 block of albemarle street nw,property,"38.9478893844,-77.0573125016",2D1,others,25015358,02-03-2025,-77.0573125,cluster 12,day,203.0,1303.0,3.0,Unknown,2.0,2025,"2/1/2025, 10:53:49 AM",7,property|theft f/auto,01-02-2025,precinct 138,theft f/auto
